disaster_name,year,event_type,country,population,vulnerable_ratio,disaster_severity,water_needed,food_needed,source_citation
Cyclone Nargis (Ayeyarwady Delta Catastrophe),2008,Cyclone,Myanmar,2400000,0.45,9.2,9600000,5400000,EM-DAT / UN-OCHA Catastrophic Surge Archive
Cyclone Mocha (Sittwe & Northern Rakhine),2023,Cyclone,Myanmar,1200000,0.5,9.0,4800000,3000000,AHA Centre Situation Report #8
Cyclone Giri (Kyaukpyu & Western Rakhine),2010,Cyclone,Myanmar,260000,0.35,8.4,1040000,650000,EM-DAT Disaster Database
Cyclone Komen & Nationwide Monsoon Floods,2015,Flood,Myanmar,1600000,0.4,8.1,6400000,3800000,UN-OCHA Myanmar Floods Report
Cyclone Mala (Gwa & Southern Rakhine),2006,Cyclone,Myanmar,180000,0.3,8.2,720000,450000,Department of Meteorology (DMH Myanmar)
Cyclone Mora (Rakhine Coastal Surge),2017,Cyclone,Myanmar,210000,0.32,7.8,672000,420000,UN-OCHA ReliefWeb Update
Typhoon Yagi Remnants & Central Myanmar Inundation,2024,Flood,Myanmar,890000,0.42,8.8,3560000,2225000,UN-OCHA / AHA Centre Regional Flash
Tarlay Shan Eastern Fault Quake (M6.8),2011,Earthquake,Myanmar,18000,0.3,7.8,72000,45000,USGS Earthquake Hazards / AHA Centre
Thabeikkyin Seismic Emergency (M6.8),2012,Earthquake,Myanmar,35000,0.25,7.6,140000,88000,USGS / ReliefWeb
Chauk Central Magway Fault Quake (M6.8),2016,Earthquake,Myanmar,85000,0.2,7.4,340000,210000,USGS Historic Quake Catalog
Bago Great Seismic Rupture (M7.3),1930,Earthquake,Myanmar,45000,0.5,9.1,180000,112500,Historical Myanmar Seismic Archive
Sagaing Fault Epicentral Quake (M7.0),1956,Earthquake,Myanmar,60000,0.45,8.9,240000,150000,Myanmar Geosciences Society
Bago River Severe Inundation,2018,Flood,Myanmar,120000,0.25,7.2,480000,300000,Department of Disaster Management (DDM)
Bago Urban Mega-Flood Crisis,2023,Flood,Myanmar,150000,0.32,7.7,600000,375000,ASEAN Disaster Information Network (ADINet)
Ye & Mon State Coastal Monsoon Floods,2019,Flood,Myanmar,95000,0.22,6.9,380000,240000,Myanmar Red Cross Society (MRCS)
Southern Mon & Tanintharyi Monsoon Crisis,2024,Flood,Myanmar,90000,0.25,7.0,360000,225000,AHA Centre Disaster Update
Hpakant Jade Mines Mega-Debris Disaster,2020,Landslide,Myanmar,4500,0.5,8.5,22500,15000,MIMU Hazard Incident Log
Hpakant Mine Waste Slope Failure,2015,Landslide,Myanmar,2500,0.55,8.3,13750,9000,MIMU Disaster Assessment
Hpakant Jade Quarry Collapse,2022,Landslide,Myanmar,1800,0.5,8.0,9000,6000,Kachin Disaster Taskforce
Mawchi Kayah Mine Slope Collapse,2015,Landslide,Myanmar,3200,0.45,7.8,14400,9600,Kayah DRR Unit
Kalay Valley Flash Inundation & Chindwin Overflow,2021,Flood,Myanmar,64000,0.28,7.0,256000,160000,ReliefWeb Flash Update
Myitkyina Kachin Upper Ayeyarwady Inundation,2024,Flood,Myanmar,110000,0.3,7.5,440000,275000,UN-OCHA Flash Report
Taungoo Sittaung River Overflow,2024,Flood,Myanmar,75000,0.26,6.9,300000,187500,DDM Situation Bulletin
Shan Plateau Highland Flash Runoff & Landslides,2024,Landslide,Myanmar,12000,0.35,7.1,48000,30000,MRCS Emergency Brief
Pyin Oo Lwin Highland Torrential Runoff,2024,Flood,Myanmar,18000,0.25,6.8,72000,45000,Mandalay Disaster Branch
Mandalay Urban Inundation & Flash Runoff,2023,Flood,Myanmar,82000,0.24,6.5,328000,205000,Mandalay City Development Committee
Pakokku Flash Flood & Embankment Breach,2011,Flood,Myanmar,35000,0.3,7.4,140000,87500,Magway Division Disaster Record
Magway Dry-Zone Flash Inundation,2021,Flood,Myanmar,45000,0.25,6.7,180000,112500,DDM Magway
Ayeyarwady Delta Seasonal Tidal Surge,2022,Flood,Myanmar,180000,0.2,6.7,720000,450000,UN WFP Myanmar Operational Log
Hinthada River Embankment Threat,2016,Flood,Myanmar,55000,0.22,6.8,220000,137500,Irrigation Department
Monywa Chindwin High Inundation,2017,Flood,Myanmar,68000,0.24,6.9,272000,170000,Sagaing Relief Command
Shwebo Seismic Fault Tremor (M5.6),2019,Earthquake,Myanmar,15000,0.15,6.2,45000,28000,USGS Hazards
Taunggyi Inle Lake Flash Basin Rise,2024,Flood,Myanmar,35000,0.3,7.2,140000,87500,Shan DRR Taskforce
Kyaikto Sittaung Basin Coastal Flooding,2020,Flood,Myanmar,28000,0.22,6.6,112000,70000,Mon State DRR
Bilin River Torrential Overflow,2023,Flood,Myanmar,32000,0.28,7.1,128000,80000,Mon State Relief Committee
Dawei Coastal Surge & Flash Flood,2021,Flood,Myanmar,25000,0.2,6.5,100000,62500,Tanintharyi Disaster Plan
Kawthaung Andaman Gale & High Tide Surge,2022,Flood,Myanmar,12000,0.2,6.3,48000,30000,Tanintharyi Maritime
Hakha Mountain Landslide Crisis,2015,Landslide,Myanmar,8500,0.48,8.2,40800,25500,Chin State Disaster Assessment
Mindat Slope Failure & Torrential Runoff,2021,Landslide,Myanmar,4500,0.4,7.3,18000,11250,MIMU Chin Profiles
Mogok Ruby Valley Flash Flood & Mudflow,2024,Landslide,Myanmar,6500,0.35,7.0,26000,16250,Mandalay Northern DRR
