pcode,township_name,latitude,longitude,total_population
MMR000,Township_0,16.7417,95.2038,22053
MMR001,Township_1,27.1129,98.8206,837554
MMR002,Township_2,23.1759,92.1295,47998
MMR003,Township_3,20.7759,93.0447,14892
MMR004,Township_4,12.8083,92.414,8709
MMR005,Township_5,12.8079,92.3666,10846
MMR006,Township_6,11.0455,99.6991,15354
MMR007,Township_7,25.5912,98.3329,11193
MMR008,Township_8,20.8201,96.2676,12379
MMR009,Township_9,22.7453,92.8805,17537
MMR010,Township_10,10.3705,96.4245,11767
MMR011,Township_11,27.4584,96.2612,182206
MMR012,Township_12,24.984,93.5588,7867
MMR013,Township_13,13.8221,95.9047,37074
MMR014,Township_14,13.2728,95.5865,26109
MMR015,Township_15,13.3013,97.5427,693374
MMR016,Township_16,15.4764,97.7158,9122
MMR017,Township_17,19.4456,92.4077,25119
MMR018,Township_18,17.775,95.3715,466865
MMR019,Township_19,15.2421,97.6327,145474
MMR020,Township_20,21.0134,96.5282,110161
MMR021,Township_21,12.5109,99.7084,15999
MMR022,Township_22,15.2586,97.9282,11653
MMR023,Township_23,16.5945,93.4664,59417
MMR024,Township_24,18.2093,92.6351,247640
MMR025,Township_25,24.1332,97.7818,41009
MMR026,Township_26,13.5941,92.2386,42985
MMR027,Township_27,19.2562,97.272,17240
MMR028,Township_28,20.6635,100.4621,87998
MMR029,Township_29,10.8361,97.1793,12401
MMR030,Township_30,20.9358,95.4935,19893
MMR031,Township_31,13.0694,97.7896,27345
MMR032,Township_32,11.1709,96.1243,35185
MMR033,Township_33,27.0799,96.9106,15165
MMR034,Township_34,27.3814,100.4732,9236
MMR035,Township_35,24.5512,95.4749,48767
MMR036,Township_36,15.483,100.6507,17744
MMR037,Township_37,11.7581,100.1482,44328
MMR038,Township_38,22.3162,93.7621,10913
MMR039,Township_39,17.9227,92.6243,32434
MMR040,Township_40,12.1967,92.907,38017
MMR041,Township_41,18.9132,92.164,6805
MMR042,Township_42,10.619,92.85,20733
MMR043,Township_43,26.3678,98.1471,10050
MMR044,Township_44,14.658,92.6407,7230
MMR045,Township_45,21.9254,94.8708,1029370
MMR046,Township_46,15.6108,99.6039,19808
MMR047,Township_47,19.3612,92.2094,106220
MMR048,Township_48,19.8408,99.3302,15821
MMR049,Township_49,13.3274,94.5367,62209
MMR050,Township_50,27.4525,93.0635,84550
MMR051,Township_51,23.9524,98.2706,46437
MMR052,Township_52,26.911,97.6605,31497
MMR053,Township_53,26.1069,99.8972,26226
MMR054,Township_54,20.7622,98.6156,21556
MMR055,Township_55,26.5937,99.2313,248064
MMR056,Township_56,11.5929,94.5383,118328
MMR057,Township_57,13.5277,93.597,422534
MMR058,Township_58,10.8141,98.7555,9625
MMR059,Township_59,15.8559,99.2615,74947
MMR060,Township_60,16.9962,100.9145,275358
MMR061,Township_61,14.8843,95.7136,12129
MMR062,Township_62,24.9173,95.3482,7347
MMR063,Township_63,16.4216,98.9877,78094
MMR064,Township_64,15.0568,95.0672,43379
MMR065,Township_65,19.7685,100.3768,125956
MMR066,Township_66,12.5366,99.7257,10279
MMR067,Township_67,24.4395,95.8609,98939
MMR068,Township_68,11.3419,98.7578,13098
MMR069,Township_69,27.764,98.7909,11326
MMR070,Township_70,23.9004,92.9281,11353
MMR071,Township_71,13.5769,100.123,108764
MMR072,Township_72,10.0994,96.5473,58699
MMR073,Township_73,24.6783,99.4381,36908
MMR074,Township_74,22.7234,94.8804,22244
MMR075,Township_75,23.1221,100.0597,157382
MMR076,Township_76,23.8829,95.5028,24702
MMR077,Township_77,11.3328,92.0975,109894
MMR078,Township_78,16.4524,100.1484,28518
MMR079,Township_79,12.0856,92.8216,23541
MMR080,Township_80,25.5359,94.8738,30650
MMR081,Township_81,21.2194,100.5506,18505
MMR082,Township_82,15.9562,100.5555,80195
MMR083,Township_83,11.1441,97.1609,34659
MMR084,Township_84,15.5977,97.6865,14631
MMR085,Township_85,15.8533,96.036,186423
MMR086,Township_86,23.1329,94.6389,24055
MMR087,Township_87,21.476,94.958,39341
MMR088,Township_88,25.9698,98.0527,197666
MMR089,Township_89,18.4999,98.7714,51019
MMR090,Township_90,12.1527,99.1242,9320
MMR091,Township_91,22.8384,99.1066,280631
MMR092,Township_92,23.6941,92.8209,51615
MMR093,Township_93,20.103,96.4498,20621
MMR094,Township_94,23.8774,92.518,10257
MMR095,Township_95,18.8883,96.9458,98359
MMR096,Township_96,19.4092,95.9738,50316
MMR097,Township_97,17.6957,99.9893,38121
MMR098,Township_98,10.4575,95.1582,178086
MMR099,Township_99,11.942,93.0536,95895
MMR100,Township_100,10.5657,93.2869,10794
MMR101,Township_101,21.4554,98.8536,19139
MMR102,Township_102,15.6584,97.564,15489
MMR103,Township_103,19.1543,92.9101,78998
MMR104,Township_104,26.3362,92.757,6149
MMR105,Township_105,14.4873,98.3087,42750
MMR106,Township_106,17.3869,92.6549,85359
MMR107,Township_107,23.5999,99.3967,156905
MMR108,Township_108,14.1184,98.3562,21098
MMR109,Township_109,11.3856,92.7321,112573
MMR110,Township_110,15.2155,92.7635,9064
MMR111,Township_111,12.902,100.8798,129371
MMR112,Township_112,26.7346,95.3684,9759
MMR113,Township_113,24.5462,95.3358,25074
MMR114,Township_114,21.4013,99.3152,99897
MMR115,Township_115,25.6863,100.5252,10718
MMR116,Township_116,24.4661,100.874,14478
MMR117,Township_117,13.3583,98.7804,72454
MMR118,Township_118,26.0661,95.3863,71833
MMR119,Township_119,19.7082,92.7515,54013
MMR120,Township_120,24.5339,98.9943,65096
MMR121,Township_121,26.1296,97.0256,39239
MMR122,Township_122,15.7241,95.818,15667
MMR123,Township_123,11.9809,100.1572,21341
MMR124,Township_124,14.1028,93.0008,12146
MMR125,Township_125,17.6879,96.4336,201149
MMR126,Township_126,24.7243,92.1022,44636
MMR127,Township_127,25.4932,96.2179,25352
MMR128,Township_128,10.1251,92.5067,30587
MMR129,Township_129,19.1935,93.0694,310635
MMR130,Township_130,17.5134,93.0577,10868
MMR131,Township_131,13.9979,97.8429,45045
MMR132,Township_132,12.1576,98.7144,34999
MMR133,Township_133,16.0771,97.2503,48902
MMR134,Township_134,26.9724,100.6596,5612
MMR135,Township_135,15.8177,95.3738,151989
MMR136,Township_136,19.3382,94.5714,255470
MMR137,Township_137,22.6543,99.8174,42109
MMR138,Township_138,16.5453,94.0124,65749
MMR139,Township_139,27.4921,100.669,230063
MMR140,Township_140,27.3241,92.1094,68403
