city,latitude,longitude,population
Yangon,16.8661,96.1561,5458000
Mandalay,21.9588,96.0891,1460000
Naypyidaw,19.7633,96.0785,1160000
Mawlamyine,16.4919,97.6256,491139
Bago,17.3333,96.4833,288120
Pathein,16.7750,94.7333,287071
Monywa,22.1086,95.1358,207489
Sittwe,20.1500,92.9000,181000
Meiktila,20.8789,95.8583,177442
Taunggyi,20.7833,97.0333,380665
Myeik,12.4381,98.6022,284000
Pyay,18.8242,95.2185,251643
Lashio,22.9333,97.7500,174370
Myitkyina,25.3833,97.4000,150000
Hpa-An,16.8897,97.6347,126225
Pyin Oo Lwin,22.0333,96.4667,255000
Yenangyaung,20.4667,94.8833,110000
Magway,20.1500,94.9167,300000
Dawei,14.0833,98.2000,146900
Tachileik,20.4481,99.8817,108000
